000: <2021-08-17 : 21:18:56 - 2652> ~ <GAME> : An entity was created!
001: <2021-08-17 : 21:18:56 - 2653> ~ <GAME> : An entity was initialized!
002: <2021-08-17 : 21:19:05 - 11142> ~ <GAME> : An entity was destroyed!
not SoftwareComponent skipping
002: <2021-08-17 : 21:18:54 - 424> ~ <ENGINE> : Searching for ICD drivers named .\nvoglv32.dll
092: <2021-08-17 : 21:18:54 - 704> ~ <ENGINE> : Device Extension: VK_EXT_buffer_device_address (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.2
093: <2021-08-17 : 21:18:54 - 705> ~ <ENGINE> : Device Extension: VK_EXT_calibrated_timestamps (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
094: <2021-08-17 : 21:18:54 - 705> ~ <ENGINE> : Device Extension: VK_EXT_color_write_enable (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
095: <2021-08-17 : 21:18:54 - 709> ~ <ENGINE> : Device Extension: VK_EXT_conditional_rendering (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.2
096: <2021-08-17 : 21:18:54 - 714> ~ <ENGINE> : Device Extension: VK_EXT_conservative_rasterization (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
097: <2021-08-17 : 21:18:54 - 715> ~ <ENGINE> : Device Extension: VK_EXT_custom_border_color (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.12
098: <2021-08-17 : 21:18:54 - 716> ~ <ENGINE> : Device Extension: VK_EXT_depth_clip_enable (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
099: <2021-08-17 : 21:18:54 - 722> ~ <ENGINE> : Device Extension: VK_EXT_depth_range_unrestricted (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
100: <2021-08-17 : 21:18:54 - 728> ~ <ENGINE> : Device Extension: VK_EXT_descriptor_indexing (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.2
101: <2021-08-17 : 21:18:54 - 731> ~ <ENGINE> : Device Extension: VK_EXT_discard_rectangles (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
102: <2021-08-17 : 21:18:54 - 734> ~ <ENGINE> : Device Extension: VK_EXT_extended_dynamic_state (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
103: <2021-08-17 : 21:18:54 - 746> ~ <ENGINE> : Device Extension: VK_EXT_extended_dynamic_state2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
104: <2021-08-17 : 21:18:54 - 750> ~ <ENGINE> : Device Extension: VK_EXT_external_memory_host (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
105: <2021-08-17 : 21:18:54 - 754> ~ <ENGINE> : Device Extension: VK_EXT_fragment_shader_interlock (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_4a746d937e6a7240\.\nvoglv32.dll) version 0.0.1
